dtSta070DateTime,iSta070OverAllResult,rSta070CycleTime,iSta070CapNutTypeResult,iSta070OMVSpringResult_PI,rSta070NozzlePreLoadForce,rSta070NozzlePreLoadPosition,iSta070StackBuildResult,rSta070CapNutTorque,rSta070CapNutTorqueAngle,rSta070CapNutFinalAngle,iSta070CapNutAssemblyResult
02/09/2021 17:12,1,22.033,1,1,65,114.51,1,3.207002,2264.715,1900.536,1
01/09/2021 22:03,2,19.787,1,1,40,114.32,1,9.691736,0,0,2
01/09/2021 22:07,1,21.403,1,1,40,114.2,1,3.249627,2074.967,1709.713,1
01/09/2021 22:08,2,21.133,1,1,40,114.27,1,10.13523,0,0,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
02/09/2021 17:46,1,22.033,1,1,65,114.66,1,3.160383,2005.628,1640.608,1
03/09/2021 13:49,1,21.231,1,1,65,114.45,1,3.22464,2039.946,1660.729,1
03/09/2021 13:49,1,21.71,1,1,65,114.63,1,3.182473,1953.666,1577.462,1
03/09/2021 13:50,1,20.521,1,1,65,114.57,1,3.171031,2135.152,1771.005,1
03/09/2021 13:51,1,22.015,1,1,65,114.66,1,3.254032,2043.874,1678.305,1
03/09/2021 13:52,1,6.614,1,1,65,114.62,1,3.212846,2396.579,2032.515,1
,,,,,,,,,,,
03/09/2021 14:07,1,23.256,1,1,65,114.53,1,3.17727,2131.293,1766.754,1
03/09/2021 14:07,1,22.372,1,1,65,114.66,1,3.193136,2157.331,1792.651,1
,,,,,,,,,,,
03/09/2021 14:09,1,21.47,1,1,65,114.54,1,3.236267,2101.29,1736.505,1
03/09/2021 14:10,1,21.199,1,1,65,114.66,1,3.16061,2293.327,1928.709,1
03/09/2021 14:11,1,21.453,1,1,65,114.57,1,3.161446,2261.156,1896.483,1
03/09/2021 14:12,1,21.366,1,1,65,114.51,1,3.222712,2098.293,1733.761,1
03/09/2021 15:54,1,21.369,1,1,65,114.66,1,3.261725,1784.87,1399.287,1
03/09/2021 15:54,1,21.335,1,1,65,114.66,1,3.23088,2337.683,1973.555,1
,,,,,,,,,,,
03/09/2021 15:55,1,21.793,1,1,65,114.54,1,3.186852,2182.989,1818.315,1
